yearID,teamID,H,HR,BB,SO,AB,RBI,R,W,G
2020,SDN,506,95,204,479.0,1972,312.0,325,37,60
2020,SEA,435,60,207,545.0,1929,244.0,254,27,60
2020,SFN,532,81,195,499.0,2019,290.0,299,29,60
2020,SLN,410,51,205,477.0,1752,231.0,240,30,58
2020,TBA,470,80,243,608.0,1975,274.0,289,40,60
2020,TEX,420,62,167,548.0,1936,204.0,224,22,60
2020,TOR,516,88,203,508.0,2023,288.0,302,32,60
2020,WAS,519,66,192,451.0,1968,279.0,293,26,60
2021,ARI,1297,144,537,1465.0,5489,644.0,679,52,162
2021,ATL,1307,239,549,1453.0,5363,762.0,790,88,161
2021,BAL,1296,195,451,1454.0,5420,632.0,659,52,162
2021,BOS,1434,219,512,1386.0,5495,783.0,829,92,162
2021,CHA,1373,190,586,1389.0,5357,757.0,796,93,162
2021,CHN,1255,210,502,1596.0,5306,672.0,705,71,162
2021,CIN,1352,222,553,1425.0,5423,756.0,786,83,162
2021,CLE,1269,203,453,1387.0,5332,686.0,717,80,162
2021,COL,1338,182,491,1356.0,5374,709.0,739,74,161
2021,DET,1299,179,490,1514.0,5376,675.0,697,77,162
2021,HOU,1496,221,569,1222.0,5593,834.0,863,95,162
2021,KCA,1349,163,421,1258.0,5427,647.0,686,74,162
2021,LAA,1331,190,464,1394.0,5437,691.0,723,77,162
2021,LAN,1330,237,613,1408.0,5445,799.0,830,106,162
2021,MIA,1244,158,450,1553.0,5348,594.0,623,67,162
2021,MIL,1251,194,586,1465.0,5362,700.0,738,95,162
2021,MIN,1311,228,525,1405.0,5431,690.0,729,73,162
2021,NYA,1266,222,621,1482.0,5331,666.0,711,92,162
2021,NYN,1243,176,495,1392.0,5210,604.0,636,77,162
2021,OAK,1284,199,545,1349.0,5395,698.0,743,86,162
2021,PHI,1288,198,564,1402.0,5366,700.0,734,82,162
2021,PIT,1261,124,529,1328.0,5336,570.0,609,61,162
2021,SDN,1305,180,586,1324.0,5384,695.0,729,79,162
2021,SEA,1209,199,535,1492.0,5355,673.0,697,90,162
2021,SFN,1360,241,602,1461.0,5462,768.0,804,107,162
2021,SLN,1303,198,478,1341.0,5351,678.0,706,90,162
2021,TBA,1336,222,585,1542.0,5507,810.0,857,100,162
2021,TEX,1254,167,433,1381.0,5405,598.0,625,60,162
2021,TOR,1455,262,496,1218.0,5476,816.0,846,91,162
2021,WAS,1388,182,573,1303.0,5385,686.0,724,65,162
2022,ARI,1232,173,531,1341.0,5351,658.0,702,74,162
2022,ATL,1394,243,470,1498.0,5509,753.0,789,101,162
2022,BAL,1281,171,476,1390.0,5429,639.0,674,83,162
2022,BOS,1427,155,478,1373.0,5539,704.0,735,78,162
2022,CHA,1435,149,388,1269.0,5611,654.0,686,81,162
2022,CHN,1293,159,507,1448.0,5425,620.0,657,74,162
2022,CIN,1264,156,452,1430.0,5380,618.0,648,62,162
2022,CLE,1410,127,450,1122.0,5558,662.0,698,92,162
2022,COL,1408,149,453,1330.0,5540,669.0,698,68,162
2022,DET,1240,110,380,1413.0,5378,530.0,557,66,162
2022,HOU,1341,214,528,1179.0,5409,715.0,737,106,162
2022,KCA,1327,138,460,1287.0,5437,613.0,640,65,162
2022,LAA,1265,190,449,1539.0,5423,600.0,623,73,162
2022,LAN,1418,212,607,1374.0,5526,812.0,847,111,162
2022,MIA,1241,144,436,1429.0,5395,554.0,586,69,162
2022,MIL,1271,219,577,1464.0,5417,703.0,725,86,162
2022,MIN,1356,178,518,1353.0,5476,668.0,696,78,162
2022,NYA,1308,254,620,1391.0,5422,764.0,807,99,162
2022,NYN,1422,171,510,1217.0,5489,735.0,772,101,162
2022,OAK,1147,137,433,1389.0,5314,537.0,568,60,162
2022,PHI,1392,205,478,1363.0,5496,719.0,747,87,162
2022,PIT,1186,158,476,1497.0,5331,555.0,591,62,162
2022,SDN,1317,153,574,1327.0,5468,682.0,705,89,162
2022,SEA,1236,197,596,1397.0,5375,663.0,690,90,162
2022,SFN,1261,183,571,1462.0,5392,683.0,716,81,162
2022,SLN,1386,197,537,1226.0,5496,739.0,772,93,162
2022,TBA,1294,139,500,1395.0,5412,634.0,666,86,162
2022,TEX,1308,198,456,1446.0,5478,670.0,707,68,162
2022,TOR,1464,200,500,1242.0,5555,756.0,775,92,162
2022,WAS,1351,136,442,1221.0,5434,579.0,603,55,162
2023,ARI,1359,166,540,1247.0,5436,706.0,746,84,162
2023,ATL,1543,307,538,1289.0,5597,916.0,947,104,162
2023,BAL,1399,183,512,1370.0,5495,780.0,807,101,162
2023,BOS,1437,182,486,1372.0,5562,734.0,772,78,162
2023,CHA,1308,171,377,1424.0,5501,617.0,641,61,162
2023,CHN,1399,196,570,1391.0,5504,786.0,819,83,162
2023,CIN,1371,198,556,1500.0,5499,747.0,783,82,162
2023,CLE,1379,124,471,1142.0,5513,622.0,662,76,162
2023,COL,1368,163,447,1543.0,5496,685.0,721,59,162
2023,DET,1292,165,508,1473.0,5478,635.0,661,78,162
2023,HOU,1441,222,550,1241.0,5567,799.0,827,90,162
2023,KCA,1325,163,411,1396.0,5428,651.0,676,56,162
2023,LAA,1346,231,518,1524.0,5489,708.0,739,73,162
2023,LAN,1422,249,644,1359.0,5524,877.0,906,100,162
2023,MIA,1423,166,430,1287.0,5497,633.0,666,84,162
2023,MIL,1290,165,591,1412.0,5386,696.0,728,92,162
2023,MIN,1336,233,594,1654.0,5489,745.0,778,87,162
2023,NYA,1207,219,557,1427.0,5323,650.0,673,82,162
2023,NYN,1276,215,525,1331.0,5363,692.0,717,75,162
2023,OAK,1187,171,498,1496.0,5311,563.0,585,50,162
2023,PHI,1417,220,539,1481.0,5541,771.0,796,90,162
2023,PIT,1293,159,556,1464.0,5406,662.0,692,76,162
2023,SDN,1316,205,653,1311.0,5401,719.0,752,82,162
2023,SEA,1332,210,548,1603.0,5500,728.0,758,88,162
2023,SFN,1271,174,544,1492.0,5412,651.0,674,79,162
2023,SLN,1376,209,570,1326.0,5510,697.0,719,71,162
2023,TBA,1432,230,514,1420.0,5511,827.0,860,99,162
2023,TEX,1470,233,599,1416.0,5595,845.0,881,90,162
2023,TOR,1423,188,550,1303.0,5562,705.0,746,89,162
2023,WAS,1401,151,423,1149.0,5522,665.0,700,71,162
